Nx		dx		dt		nsteps		L2_u_abs		L2_p_abs		L2_u_rel		L2_p_rel		TimeNoOMP	TimeOMP		SpeedUp		Procs		Threads		Rate_u		Rate_p
128		4.927989e-02		0.200000		5		2.452679e+01		9.563208e+00		2.601851e+00		2.041148e+00		2.142917e+01	1.000000e+00		21.43		4		2		0.00		0.00
128		4.927989e-02		0.100000		10		9.425222e+01		4.786545e+01		9.998466e+00		1.021629e+01		5.227740e+01	1.000000e+00		52.28		4		2		-1.94		-2.32
128		4.927989e-02		0.050000		20		4.382007e+02		2.077043e+02		4.648521e+01		4.433191e+01		9.069977e+01	1.000000e+00		90.70		4		2		-2.22		-2.12
128		4.927989e-02		0.025000		40		2.203493e+03		1.369757e+03		2.337510e+02		2.923577e+02		1.696568e+02	1.000000e+00		169.66		4		2		-2.33		-2.72
