Nx	dx          	dt  		    nsteps  L2_u_abs    		L2_p_abs    		L2_u_rel    		L2_p_rel    		TimeNoOMP   		TimeOMP 	    	TimeSpeedUp		Procs		Rate_u		Rate_p
8	8.377581e-01	2.000000e-05	25		3.712320e-01		4.833344e+01		3.006752e-02		8.701554e+00		4.686134e-02		8.486763e-02		5.521697e-01		2		0.00		0.00
16	4.053668e-01	2.000000e-05	25		8.140331e-02		1.409966e+01		6.972235e-03		2.538388e+00		2.946143e-01		3.248135e-01		9.070259e-01		2		2.09		1.70
32	1.994662e-01	2.000000e-05	25		1.948939e-02		2.282545e+00		1.712527e-03		4.109306e-01		2.048180e+00		2.028772e+00		1.009567e+00		2		2.02		2.57
64	9.894780e-02	2.000000e-05	25		4.909146e-03		6.582541e-01		4.367104e-04		1.185091e-01		1.586661e+01		1.534087e+01		1.034270e+00		2		1.97		1.77
