Nx		dx		dt		nsteps		L2_u_abs		L2_p_abs		L2_u_rel		L2_p_rel		TimeNoOMP	TimeOMP		SpeedUp		Procs		Threads		Rate_u		Rate_p
8		8.377581e-01		0.000020		25		3.712321e-01		4.833613e+01		3.006752e-02		8.702039e+00		9.523117e-02	1.035199e-01		0.92		1		1		0.00		0.00
16		4.053668e-01		0.000020		25		8.140337e-02		1.409959e+01		6.972243e-03		2.538374e+00		5.893623e-01	5.923701e-01		0.99		1		1		2.09		1.70
32		1.994662e-01		0.000020		25		1.948942e-02		2.282370e+00		1.712519e-03		4.109008e-01		4.284222e+00	4.306882e+00		0.99		1		1		2.02		2.57
64		9.894780e-02		0.000020		25		4.909614e-03		6.580480e-01		4.367183e-04		1.184754e-01		3.293115e+01	3.326675e+01		0.99		1		1		1.97		1.77
