Nx		dx		dt		nsteps		L2_u_abs		L2_p_abs		L2_u_rel		L2_p_rel		TimeNoOMP	TimeOMP		SpeedUp		Procs		Threads		Rate_u		Rate_p
8		8.377581e-01		0.000020		25		3.712321e-01		4.833268e+01		3.006753e-02		8.701417e+00		4.714178e-02	4.203935e-02		1.12		4		2		0.00		0.00
16		4.053668e-01		0.000020		25		8.140339e-02		1.409815e+01		6.972242e-03		2.538115e+00		1.975375e-01	1.733202e-01		1.14		4		2		2.09		1.70
32		1.994662e-01		0.000020		25		1.948976e-02		2.281672e+00		1.712553e-03		4.107735e-01		1.339846e+00	9.387687e-01		1.43		4		2		2.02		2.57
64		9.894780e-02		0.000020		25		4.909835e-03		6.574432e-01		4.367384e-04		1.183614e-01		1.042288e+01	6.816505e+00		1.53		4		2		1.97		1.77
