Nx		dx		dt		nsteps		L2_u_abs		L2_p_abs		L2_u_rel		L2_p_rel		TimeNoOMP	TimeOMP		SpeedUp		Procs		Threads		Rate_u		Rate_p
8		8.377581e-01		0.000020		25		3.712321e-01		4.833344e+01		3.006753e-02		8.701555e+00		5.586243e-02	1.018949e-01		0.55		2		4		0.00		0.00
16		4.053668e-01		0.000020		25		8.140345e-02		1.409966e+01		6.972245e-03		2.538388e+00		3.338325e-01	3.378852e-01		0.99		2		4		2.09		1.70
32		1.994662e-01		0.000020		25		1.948973e-02		2.282545e+00		1.712551e-03		4.109306e-01		2.298054e+00	2.011664e+00		1.14		2		4		2.02		2.57
64		9.894780e-02		0.000020		25		4.910078e-03		6.582541e-01		4.367615e-04		1.185091e-01		1.765766e+01	1.500551e+01		1.18		2		4		1.97		1.77
