Nx  dx          	dt      		nsteps	L2_u_abs    		L2_p_abs    		L2_u_rel    		L2_p_rel    		TimeNoOMP   		TimeOMP     		TimeSpeedUp		Procs		Rate_u		Rate_p
8	8.377581e-01	2.000000e-05	25		3.712321e-01		4.833168e+01		3.006752e-02		8.701238e+00		3.908295e-02		4.170907e-02		9.370372e-01		8		0.00		0.00
16	4.053668e-01	2.000000e-05	25		8.140339e-02		1.409955e+01		6.972242e-03		2.538368e+00		1.759708e-01		1.806329e-01		9.741901e-01		8		2.09		1.70
32	1.994662e-01	2.000000e-05	25		1.948981e-02		2.282682e+00		1.712557e-03		4.109553e-01		9.718683e-01		9.664377e-01		1.005619e+00		8		2.02		2.57
64	9.894780e-02	2.000000e-05	25		4.910037e-03		6.582006e-01		4.367621e-04		1.184975e-01		8.068475e+00		7.880605e+00		1.023839e+00		8		1.97		1.77
