Nx		dx		dt		nsteps		L2_u_abs		L2_p_abs		L2_u_rel		L2_p_rel		TimeNoOMP	TimeOMP		SpeedUp		Procs		Threads		Rate_u		Rate_p
80		7.903378e-02		1.000000		1		7.873170e+00		7.217435e-01		1.170124e+00		2.165803e-01		1.014218e+00	9.665039e-01		1.05		8		1		0.00		0.00
80		7.903378e-02		0.500000		2		2.726392e+00		1.828761e+00		4.052010e-01		5.487735e-01		1.629326e+00	1.322021e+00		1.23		8		1		inf		-inf
80		7.903378e-02		0.250000		4		1.501365e+00		8.676503e-01		2.231355e-01		2.603639e-01		2.685024e+00	2.673168e+00		1.00		8		1		inf		inf
80		7.903378e-02		0.125000		8		1.331404e+00		1.005093e+00		1.978756e-01		3.016075e-01		4.911340e+00	4.626895e+00		1.06		8		1		inf		-inf
