Nx	dx          	dt      		nsteps	L2_u_abs    		L2_p_abs    		L2_u_rel    		L2_p_rel    		TimeNoOMP   		TimeOMP     		TimeSpeedUp 		Procs	Rate_u		Rate_p
8	8.377581e-01	2.000000e-05	25		3.712321e-01		4.833228e+01		3.006753e-02		8.701344e+00		3.911798e-02		3.408695e-02		1.147594e+00		4		0.00		0.00
16	4.053668e-01	2.000000e-05	25		8.140337e-02		1.409864e+01		6.972239e-03		2.538203e+00		2.006062e-01		1.818732e-01		1.103000e+00		4		2.09		1.70
32	1.994662e-01	2.000000e-05	25		1.948967e-02		2.282639e+00		1.712547e-03		4.109477e-01		1.156155e+00		1.075099e+00		1.075394e+00		4		2.02		2.57
64	9.894780e-02	2.000000e-05	25		4.909696e-03		6.583869e-01		4.367392e-04		1.185312e-01		8.660105e+00		8.299911e+00		1.043397e+00		4		1.97		1.77
