Nx		dx		dt		nsteps		L2_u_abs		L2_p_abs		L2_u_rel		L2_p_rel		TimeNoOMP	TimeOMP		SpeedUp		Procs		Threads		Rate_u		Rate_p
8		8.377581e-01		0.000020		25		3.712321e-01		4.833344e+01		3.006753e-02		8.701555e+00		6.543253e-02	1.762242e-01		0.37		2		8		0.00		0.00
16		4.053668e-01		0.000020		25		8.140345e-02		1.409966e+01		6.972245e-03		2.538388e+00		3.249190e-01	4.084208e-01		0.80		2		8		2.09		1.70
32		1.994662e-01		0.000020		25		1.948973e-02		2.282545e+00		1.712551e-03		4.109306e-01		2.281451e+00	2.081178e+00		1.10		2		8		2.02		2.57
64		9.894780e-02		0.000020		25		4.910078e-03		6.582541e-01		4.367615e-04		1.185091e-01		1.756914e+01	1.498795e+01		1.17		2		8		1.97		1.77
