0 0.008157374337315559
1 0.01631474867463112
2 0.02441921830177307
3 0.03241822123527527
4 0.04025988653302193
5 0.04789335280656815
6 0.05526911839842796
7 0.06233934685587883
8 0.06905817985534668
9 0.0753820538520813
10 0.08126994967460632
11 0.08668368309736252
12 0.09158814698457718
13 0.09595152735710144
14 0.09974552690982819
15 0.1029455363750458
16 0.1055308133363724
17 0.1074845865368843
18 0.1087941825389862
19 0.1094511076807976
20 0.109451100230217
21 0.1087941601872444
22 0.1074845567345619
23 0.10553078353405
24 0.102945514023304
25 0.0997455045580864
26 0.09595151990652084
27 0.09158815443515778
28 0.08668370544910431
29 0.08126997947692871
30 0.07538209110498428
31 0.06905822455883026
32 0.06233938783407211
33 0.05526915937662125
34 0.04789339378476143
35 0.04025992006063461
36 0.03241825103759766
37 0.02441923879086971
38 0.01631476171314716
39 0.008157380856573582
